"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.798828458E0,-4.173171844E0,6.004613342E0,3.966751099E0,8.319005885E0
1.808878458E0,-4.302353210E0,5.754633179E0,4.004622345E0,8.225755059E0
1.818927458E0,-4.399800568E0,5.489085388E0,4.171974335E0,8.178855255E0
1.828976458E0,-4.425547028E0,5.317542114E0,4.350852356E0,8.172615056E0
1.839026458E0,-4.426894226E0,5.085225220E0,4.645888824E0,8.187868526E0
1.849075458E0,-4.439617767E0,4.936584320E0,4.894072723E0,8.248152429E0
1.859124458E0,-4.429289246E0,4.657863922E0,5.028493195E0,8.160884961E0
1.869174458E0,-4.536166992E0,4.388274536E0,5.219496002E0,8.190049017E0
1.879223458E0,-4.805606689E0,4.149071960E0,5.528902588E0,8.418872704E0
1.889272458E0,-5.038821716E0,3.815415802E0,6.004313965E0,8.717735269E0
1.899322458E0,-5.110223236E0,3.619772644E0,6.416556702E0,8.966010006E0
1.909371458E0,-5.069507904E0,3.470532990E0,6.729406128E0,9.112047874E0
1.919420458E0,-4.948409729E0,3.173550568E0,7.130871277E0,9.241618214E0
1.929470458E0,-4.893473969E0,2.985242157E0,7.455695801E0,9.404528595E0
1.939519458E0,-4.807402954E0,2.825224915E0,7.624844055E0,9.446230245E0
1.949568458E0,-4.814737701E0,2.778072968E0,8.057444458E0,9.788861003E0
1.959618458E0,-4.922363892E0,2.764451294E0,8.374485168E0,1.009969599E1
1.969667458E0,-5.020559692E0,2.491119690E0,8.494385834E0,1.017675231E1
1.979716458E0,-5.234614563E0,2.495011597E0,8.746162262E0,1.049388521E1
1.989766458E0,-5.344935150E0,2.377805328E0,8.737929382E0,1.051540298E1
1.999815458E0,-5.196893005E0,2.162403259E0,8.694220276E0,1.035727527E1
2.009864458E0,-5.016667786E0,2.112706604E0,8.683292999E0,1.024841755E1
2.019913458E0,-4.963827667E0,2.101629639E0,8.768016815E0,1.029245117E1
2.029963458E0,-4.866529999E0,2.076931000E0,8.929980011E0,1.037985065E1
2.040012458E0,-4.758005676E0,1.956880646E0,9.011560364E0,1.037671528E1
2.050061458E0,-4.601880341E0,1.965113525E0,9.175469513E0,1.045123029E1
2.060111458E0,-4.392765198E0,1.923200684E0,9.281299438E0,1.044689457E1
2.070160458E0,-4.195625153E0,1.847907257E0,9.232051849E0,1.030770649E1
2.080210625E0,-4.120930481E0,1.831591187E0,9.305099945E0,1.034029397E1
2.090260625E0,-4.122726746E0,1.786235504E0,9.353748779E0,1.037690365E1
2.100309625E0,-4.082909546E0,1.709894257E0,9.285341034E0,1.028646911E1
2.110358625E0,-3.920048218E0,1.717229004E0,9.230105896E0,1.017401142E1
2.120408625E0,-3.717818756E0,1.674268341E0,9.193282471E0,1.005692763E1
2.130457625E0,-3.443888397E0,1.693428497E0,9.146130524E0,9.918657718E0
2.140506625E0,-3.127745819E0,1.747615814E0,9.239685974E0,9.910032888E0
2.150556625E0,-2.893632660E0,1.818268890E0,9.372459869E0,9.976082183E0
2.160605625E0,-2.757266235E0,1.780247955E0,9.297765198E0,9.860032330E0
2.170654625E0,-2.548899536E0,1.752705231E0,9.150621185E0,9.659333960E0
2.180704625E0,-2.397863617E0,1.699715424E0,9.007818146E0,9.475208187E0
2.190753625E0,-2.253863068E0,1.709445190E0,8.890911255E0,9.330080628E0
2.200802625E0,-2.053429871E0,1.778152313E0,8.821755066E0,9.230480070E0
2.210852625E0,-1.901795197E0,1.861528931E0,8.889713745E0,9.279500277E0
2.220901625E0,-1.884580994E0,1.923949127E0,9.034313049E0,9.427196722E0
2.230950625E0,-1.644779663E0,1.883982239E0,9.091643829E0,9.429351873E0
2.241000625E0,-1.204545135E0,1.864073639E0,9.167236633E0,9.432069073E0
2.251049625E0,-5.737568665E-1,1.878743134E0,9.328750763E0,9.533334333E0
